customer_id,segment_name,Recency,Frequency,Monetary,engagement_score,ticket_count
CUST00001,At Risk,168,6,2955.57,5,2.0
CUST00002,Potential Loyalists,35,3,1713.1,45,1.0
CUST00003,Dormant,232,1,649.98,4,0.0
CUST00004,Dormant,192,1,1604.04,7,0.0
CUST00005,Champions,11,6,3910.43,118,1.0
CUST00006,Loyal Customers,55,6,3987.46,11,2.0
CUST00007,Potential Loyalists,3,2,1219.9,77,0.0
CUST00008,Loyal Customers,45,6,3647.9900000000002,14,1.0
CUST00009,Potential Loyalists,29,2,803.99,74,0.0
CUST00010,Potential Loyalists,9,2,1984.18,90,0.0
CUST00011,Loyal Customers,7,4,2912.49,47,0.0
CUST00012,Dormant,111,2,2051.63,21,1.0
CUST00013,Loyal Customers,3,4,2934.52,27,1.0
CUST00014,Champions,1,13,9108.63,73,2.0
CUST00015,Champions,1,5,5805.34,31,0.0
CUST00016,Dormant,276,1,478.02,11,1.0
CUST00017,Dormant,347,3,1699.1399999999999,29,0.0
CUST00018,Dormant,172,1,329.21,12,0.0
CUST00019,Potential Loyalists,35,3,2719.02,34,0.0
CUST00020,Dormant,429,3,4487.950000000001,0,1.0
CUST00021,Dormant,138,2,1059.3,19,1.0
CUST00022,Potential Loyalists,37,2,1332.67,49,0.0
CUST00023,Potential Loyalists,42,2,772.04,20,0.0
CUST00024,Potential Loyalists,14,2,967.97,89,0.0
CUST00025,At Risk,226,7,4868.86,70,3.0
CUST00026,Loyal Customers,41,4,4521.43,75,1.0
CUST00027,Potential Loyalists,15,2,2666.0,60,1.0
CUST00028,Potential Loyalists,4,3,1853.73,6,1.0
CUST00029,Champions,12,11,7122.8,7,0.0
CUST00030,Champions,16,7,3884.46,47,2.0
CUST00031,Dormant,110,1,672.95,44,0.0
CUST00032,Loyal Customers,32,4,2456.0499999999997,88,0.0
CUST00033,Champions,15,6,3548.9,52,2.0
CUST00034,Loyal Customers,53,7,4165.39,42,3.0
CUST00035,Dormant,188,3,1369.71,34,0.0
CUST00036,Loyal Customers,88,4,1737.33,0,1.0
CUST00037,Potential Loyalists,9,3,2021.52,35,0.0
CUST00038,Loyal Customers,11,6,2761.52,29,1.0
CUST00039,Loyal Customers,31,4,2094.09,28,0.0
CUST00040,Dormant,215,1,634.73,5,1.0
CUST00041,At Risk,115,4,1911.8600000000001,26,1.0
CUST00042,Loyal Customers,46,10,7919.28,17,6.0
CUST00043,Potential Loyalists,12,2,705.3199999999999,19,0.0
CUST00044,Loyal Customers,58,4,3409.6499999999996,36,1.0
CUST00045,Dormant,157,1,413.75,24,0.0
CUST00046,Dormant,188,1,489.87,44,0.0
CUST00047,Dormant,265,1,764.43,12,0.0
CUST00048,Loyal Customers,11,5,2860.14,54,1.0
CUST00049,Potential Loyalists,39,2,1172.61,19,0.0
CUST00050,Loyal Customers,56,4,3169.58,17,1.0
CUST00051,At Risk,271,4,4444.3,41,2.0
CUST00052,Dormant,116,3,2807.14,44,1.0
CUST00053,Champions,10,6,5422.92,42,2.0
CUST00054,Potential Loyalists,23,2,1154.37,16,0.0
CUST00055,Loyal Customers,1,4,1707.24,41,1.0
CUST00056,Loyal Customers,53,5,4169.73,20,1.0
CUST00057,Dormant,197,2,2510.83,29,0.0
CUST00058,Loyal Customers,49,5,3930.75,9,0.0
CUST00059,Champions,9,5,5050.94,15,0.0
CUST00060,Dormant,206,1,293.22,34,0.0
CUST00061,Loyal Customers,3,5,2511.7200000000003,25,1.0
CUST00062,Loyal Customers,50,5,3135.08,44,1.0
CUST00063,Dormant,277,1,397.69,0,1.0
CUST00064,Potential Loyalists,27,3,1634.0,55,0.0
CUST00065,Loyal Customers,1,4,3966.91,22,0.0
CUST00066,At Risk,381,5,4598.95,50,1.0
CUST00067,Dormant,124,2,1246.44,4,1.0
CUST00068,Dormant,407,3,2123.66,24,1.0
CUST00069,Dormant,90,2,874.47,60,0.0
CUST00070,Dormant,99,1,542.98,5,0.0
CUST00071,Dormant,93,1,2062.5,4,1.0
CUST00072,At Risk,151,4,2587.02,38,0.0
CUST00073,Loyal Customers,45,7,6253.77,43,0.0
CUST00074,Loyal Customers,26,5,2884.48,70,1.0
CUST00075,Loyal Customers,44,11,7714.719999999999,56,4.0
CUST00076,Loyal Customers,1,4,2888.0299999999997,107,0.0
CUST00077,Dormant,170,1,394.32,0,0.0
CUST00078,Dormant,200,1,894.45,20,1.0
CUST00079,Dormant,252,1,619.57,10,0.0
CUST00080,Loyal Customers,8,4,2832.98,47,0.0
CUST00081,Champions,41,9,5805.78,81,3.0
CUST00082,Dormant,315,3,1671.25,45,0.0
CUST00083,Dormant,150,2,806.87,55,1.0
CUST00084,Dormant,228,1,1273.18,77,0.0
CUST00085,Dormant,75,1,1257.8,43,0.0
CUST00086,Loyal Customers,40,6,3003.66,49,1.0
CUST00087,Loyal Customers,28,4,3610.9700000000003,5,0.0
CUST00088,At Risk,159,12,6774.5,41,1.0
CUST00089,Dormant,226,2,2825.75,55,0.0
CUST00090,Loyal Customers,50,5,2498.83,34,1.0
CUST00091,Champions,18,5,5844.34,67,1.0
CUST00092,Potential Loyalists,34,2,1155.25,6,0.0
CUST00093,Dormant,146,1,759.64,93,0.0
CUST00094,At Risk,244,4,3557.43,29,2.0
CUST00095,Dormant,126,1,372.65,70,1.0
CUST00096,Loyal Customers,45,4,2403.64,83,1.0
CUST00097,Champions,29,8,5040.67,0,2.0
CUST00098,Dormant,245,2,1843.57,44,1.0
CUST00099,Loyal Customers,45,6,3861.8199999999997,24,1.0
CUST00100,Potential Loyalists,3,3,2209.4,4,0.0
CUST00101,At Risk,169,5,3514.87,9,2.0
CUST00102,Potential Loyalists,18,2,2048.62,14,0.0
CUST00103,Potential Loyalists,7,3,2581.31,27,0.0
CUST00104,Dormant,154,1,955.63,13,0.0
CUST00105,Potential Loyalists,40,2,2846.2999999999997,7,0.0
CUST00106,At Risk,122,7,4352.11,26,1.0
CUST00107,Loyal Customers,32,4,3891.05,11,0.0
CUST00108,Dormant,105,1,1074.5,29,1.0
CUST00109,Loyal Customers,60,6,4566.15,5,0.0
CUST00110,Loyal Customers,96,6,3922.07,21,2.0
CUST00111,Dormant,239,1,1135.09,17,0.0
CUST00112,Champions,34,9,6542.4,21,1.0
CUST00113,Potential Loyalists,8,3,2095.48,89,0.0
CUST00114,At Risk,300,6,5133.53,18,1.0
CUST00115,Dormant,220,1,596.54,66,1.0
CUST00116,At Risk,204,6,5635.9,57,0.0
CUST00117,At Risk,184,4,2534.33,10,0.0
CUST00118,Loyal Customers,14,4,2001.17,12,0.0
CUST00119,Champions,6,6,4466.32,79,1.0
CUST00120,Potential Loyalists,32,2,755.8399999999999,30,0.0
CUST00121,Potential Loyalists,23,3,3028.88,37,0.0
CUST00122,Dormant,167,2,2048.93,52,0.0
